,start station name,counts
468,Hudson St & Reade St,7264
469,Humboldt St & Varet St,1583
470,Huron St & Franklin St,3554
471,India St & Manhattan Ave,3608
472,India St & West St,1730
473,Jackson Ave & 46 Rd,1178
474,Jackson St & Leonard St,830
475,Jay St & Tech Pl,5121
476,Jay St & York St,7468
477,John St & William St,4562
478,Johnson St & Gold St,3182
479,Kane St & Clinton St,3188
480,Kent Ave & N 7 St,8614
481,Kent Ave & S 11 St,3705
482,Kingston Ave & Herkimer St,1335
483,Kosciuszko St & Nostrand Ave,1301
484,Kosciuszko St & Tompkins Ave,1798
485,LaGuardia Pl & W 3 St,9792
486,Lafayette Ave & Classon Ave,3555
487,Lafayette Ave & Fort Greene Pl,4094
488,Lafayette Ave & St James Pl,4405
489,Lafayette St & E 8 St,20779
490,Lafayette St & Jersey St,14394
491,Laight St & Hudson St,2835
492,Lawrence St & Willoughby St,5938
493,Lefferts Pl & Franklin Ave,2010
494,Lenox Ave & W 111 St,5514
495,Lenox Ave & W 115 St,1634
496,Lenox Ave & W 117 St,2839
497,Lenox Ave & W 126 St,3160
498,Lenox Ave & W 130 St,2679
499,Leonard St & Boerum St,1226
500,Leonard St & Church St,5865
501,Leonard St & Maujer St,1913
502,Leonard St & Nassau Ave,3565
503,Lewis Ave & Decatur St,787
504,Lewis Ave & Kosciuszko St,1460
505,Lewis Ave & Madison St,1531
506,Lexington Ave & Classon Ave,2395
507,Lexington Ave & E 111 St,2107
508,Lexington Ave & E 120 St,884
509,Lexington Ave & E 127 St,849
510,Lexington Ave & E 24 St,1034
511,Lexington Ave & E 29 St,10775
512,Lexington Ave & E 63 St,6232
513,Liberty St & Broadway,10076
514,Lincoln Pl & Classon Ave,801
515,Lispenard St & Broadway,8346
516,Little West St & 1 Pl,9630
517,Lorimer St & Broadway,1440
518,MacDougal St & Prince St,14029
519,MacDougal St & Washington Sq,8353
520,Macon St & Nostrand Ave,3777
521,Madison Ave & E 120 St,963
522,Madison Ave & E 82 St,3952
523,Madison Ave & E 99 St,2776
524,Madison St & Clinton St,4670
525,Madison St & Montgomery St,3787
526,Maiden Ln & Pearl St,4923
527,Marcus Garvey Blvd & Macon St,1000
528,Marcy Ave & Lafayette Ave,987
529,Market St & Cherry St,4513
530,McGuinness Blvd & Eagle St,3262
531,McKibbin St & Manhattan Ave,1034
532,Mercer St & Bleecker St,13378
533,Mercer St & Spring St,8531
534,Meserole Ave & Manhattan Ave,4954
535,Metropolitan Ave & Bedford Ave,10036
536,Metropolitan Ave & Meeker Ave,3518
537,Milton St & Franklin St,6725
538,Monroe St & Bedford Ave,2746
539,Monroe St & Classon Ave,2395
540,Monroe St & Tompkins Ave,1938
541,Montgomery St & Franklin Ave,547
542,Montrose Ave & Bushwick Ave,2982
543,Morningside Ave & W 123 St,1699
544,Morningside Dr & Amsterdam Ave,915
545,Mott St & Prince St,11725
546,Mt Morris Park W & W 120 St,1762
547,Murray St & Greenwich St,8222
548,Murray St & West St,7333
549,Myrtle Ave & Lewis Ave,3224
550,Myrtle Ave & Marcy Ave,1510
551,Myrtle Ave & St Edwards St,1719
552,N 11 St & Kent Ave,2101
553,N 12 St & Bedford Ave,3584
554,N 15 St & Wythe Ave,1871
555,N 6 St & Bedford Ave,8935
556,N 8 St & Driggs Ave,4134
557,NYCBS DEPOT - DELANCEY,1
558,NYCBS Depot - GOW,385
559,Nassau Ave & Newell St,3088
560,Nassau Ave & Russell St,3970
561,Nassau St & Navy St,2049
562,Newton Rd & 44 St,773
563,Newtown Ave & 23 St,924
564,Norfolk St & Broome St,8121
565,North Moore St & Greenwich St,10942
566,Nostrand Ave & Myrtle Ave,1146
567,Old Fulton St,5627
568,Old Slip & Front St,4025
569,Pacific St & Classon Ave,706
570,Pacific St & Nevins St,2717
571,Park Ave & E 124 St,6303
572,Park Ave & Marcus Garvey Blvd,853
573,Park Ave & St Edwards St,796
574,Park Pl & Church St,4431
575,Park Pl & Franklin Ave,1391
576,Park Pl & Vanderbilt Ave,3387
577,Pearl St & Anchorage Pl,3752
578,Pearl St & Hanover Square,5334
579,Peck Slip & Front St,6726
580,Perry St & Bleecker St,5995
581,Pershing Square North,34955
582,Pershing Square South,15018
583,Picnic Point,324
584,Pier 40 - Hudson River Park,8865
585,Pike St & E Broadway,6497
586,Pike St & Monroe St,4112
587,Pioneer St & Richards St,677
588,Pioneer St & Van Brunt St,1441
589,Pitt St & Stanton St,1956
590,Plaza St West & Flatbush Ave,4891
591,Pleasant Ave & E 116 St,3682
592,Pleasant Ave & E 120 St,1191
593,President St & Henry St,2415
594,Prospect Park West & 8 St,2192
595,Prospect Pl & 6 Ave,2514
596,Prospect Pl & Underhill Ave,2022
597,Pulaski St & Marcus Garvey Blvd,1001
598,Putnam Ave & Nostrand Ave,984
599,Putnam Ave & Throop Ave,1662
600,Queens Plaza North & Crescent St,5323
601,Railroad Ave & Kay Ave,301
602,Reade St & Broadway,6244
603,Richards St & Delavan St,563
604,Richardson St & N Henry St,2518
605,Riverside Blvd & W 67 St,5363
606,Riverside Dr & W 104 St,2689
607,Riverside Dr & W 72 St,4879
608,Riverside Dr & W 78 St,2627
609,Riverside Dr & W 82 St,3838
610,Riverside Dr & W 91 St,2142
611,Rivington St & Chrystie St,6498
612,Rivington St & Ridge St,4605
613,Roebling St & N 4 St,830
614,Rogers Ave & Sterling St,1068
615,S 3 St & Bedford Ave,4747
616,S 4 St & Rodney St,2866
617,S 4 St & Wythe Ave,8174
618,S 5 Pl & S 5 St,8256
619,S Portland Ave & Atlantic Ave,222
620,S Portland Ave & Hanson Pl,3083
621,Schermerhorn St & Bond St,5865
622,Schermerhorn St & Court St,4274
623,Scholes St & Manhattan Ave,2242
624,Sigourney St & Columbia St,767
625,Smith St & 3 St,2535
626,Smith St & 9 St,3153
627,South End Ave & Liberty St,15973
628,South St & Gouverneur Ln,9220
629,South St & Whitehall St,5834
630,St James Pl & Oliver St,5654
631,St James Pl & Pearl St,2279
632,St Johns Pl & Washington Ave,2233
633,St Marks Pl & 1 Ave,11638
634,St Marks Pl & 2 Ave,12543
635,St Nicholas Ave & Manhattan Ave,3302
636,St. Nicholas Ave & W 126 St,2332
637,Stagg St & Union Ave,3126
638,Stanton St & Chrystie St,10532
639,Stanton St & Mangin St,4530
640,State St & Smith St,4003
641,Steinway St & 23 Ave,947
642,Steinway St & 28 Ave,1116
643,Sterling Pl & 7 Ave,3733
644,Sterling Pl & Bedford Ave,1835
645,Sterling St & Bedford Ave,348
646,Suffolk St & Stanton St,10326
647,Sullivan Pl & Bedford Ave,552
648,Sullivan St & Washington Sq,12728
649,Thompson St & Bleecker St,1645
650,Throop Ave & Myrtle Ave,638
651,Tompkins Ave & Hopkins St,1176
652,Underhill Ave & Lincoln Pl,2650
653,Underhill Ave & Pacific St,1947
654,Union Ave & Jackson St,1527
655,Union Ave & N 12 St,3521
656,Union Ave & Wallabout St,1079
657,Union St & 4 Ave,3365
658,Union St & Bedford Ave,584
659,Union St & Nevins St,2371
660,University Pl & E 14 St,18341
661,University Pl & E 8 St,11846
662,Van Brunt St & Van Dyke St,1788
663,Van Brunt St & Wolcott St,1420
664,Vernon Blvd & 10 St,1211
665,Vernon Blvd & 30 Rd,1461
666,Vernon Blvd & 31 Ave,924
667,Vernon Blvd & 41 Rd,517
668,Vernon Blvd & 47 Rd,1779
669,Vernon Blvd & 50 Ave,5526
670,Verona Pl & Fulton St,1678
671,Vesey Pl & River Terrace,13887
672,W 100 St & Broadway,3880
673,W 100 St & Manhattan Ave,2943
674,W 104 St & Amsterdam Ave,1730
675,W 106 St & Amsterdam Ave,1585
676,W 106 St & Central Park West,2058
677,W 107 St & Columbus Ave,2481
678,W 11 St & 6 Ave,9126
679,W 110 St & Amsterdam Ave,2894
680,W 113 St & Broadway,2770
681,W 116 St & Amsterdam Ave,3584
682,W 116 St & Broadway,2664
683,W 12 St & W 4 St,8785
684,W 120 St & Claremont Ave,1635
685,W 129 St & Convent Ave,1055
686,W 13 St & 5 Ave -moved to 5947.04,1635
687,W 13 St & 6 Ave,2179
688,W 13 St & 7 Ave,12039
689,W 15 St & 10 Ave,8059
690,W 15 St & 6 Ave,7149
691,W 15 St & 7 Ave,12579
692,W 16 St & 8 Ave,19765
693,W 16 St & The High Line,9868
694,W 17 St & 9 Ave,7311
695,W 18 St & 6 Ave,16779
696,W 18 St & 9 Ave,6446
697,W 20 St & 11 Ave,19097
698,W 20 St & 7 Ave,12419
699,W 20 St & 8 Ave,9873
700,W 21 St & 6 Ave,26271
701,W 22 St & 10 Ave,13167
702,W 22 St & 8 Ave,13220
703,W 24 St & 7 Ave,15533
704,W 25 St & 6 Ave,14168
705,W 26 St & 10 Ave,9992
706,W 26 St & 8 Ave,13082
707,W 27 St & 10 Ave,12847
708,W 27 St & 7 Ave,15045
709,W 31 St & 7 Ave,18398
710,W 33 St & 7 Ave,16094
711,W 34 St & 11 Ave,8572
712,W 35 St & Dyer Ave,3322
713,W 37 St & 10 Ave,10667
714,W 37 St & 5 Ave,9228
715,W 38 St & 8 Ave,19614
716,W 4 St & 7 Ave S,12703
717,W 41 St & 8 Ave,20254
718,W 42 St & 8 Ave,10708
719,W 42 St & Dyer Ave,10708
720,W 43 St & 10 Ave,10098
721,W 43 St & 6 Ave,11382
722,W 44 St & 5 Ave,8201
723,W 45 St & 6 Ave,8476
724,W 45 St & 8 Ave,11266
725,W 46 St & 11 Ave,8619
726,W 47 St & 10 Ave,9585
727,W 49 St & 8 Ave,11897
728,W 50 St & 9 Ave,4812
729,W 52 St & 11 Ave,8681
730,W 52 St & 5 Ave,11785
731,W 52 St & 6 Ave,14020
732,W 53 St & 10 Ave,9234
733,W 54 St & 9 Ave,7394
734,W 55 St & 6 Ave,10628
735,W 56 St & 10 Ave,7247
736,W 59 St & 10 Ave,6826
737,W 63 St & Broadway,10942
738,W 64 St & Thelonious Monk Circle,7411
739,W 67 St & Broadway,10049
740,W 70 St & Amsterdam Ave,7072
741,W 74 St & Columbus Ave,4538
742,W 76 St & Columbus Ave,6723
743,W 78 St & Broadway,5196
744,W 82 St & Central Park West,6335
745,W 84 St & Broadway,5793
746,W 84 St & Columbus Ave,6343
747,W 87 St & Amsterdam Ave,4739
748,W 88 St & West End Ave,3466
749,W 89 St & Columbus Ave,8221
750,W 90 St & Amsterdam Ave,3560
751,W 92 St & Broadway,3998
752,W 95 St & Broadway,6666
753,W Broadway & Spring Street,9670
754,Warren St & Court St,3031
755,Washington Ave & Greene Ave,2595
756,Washington Ave & Park Ave,3605
757,Washington Park,2939
758,Washington Pl & 6 Ave,7083
759,Washington Pl & Broadway,10618
760,Washington St & Gansevoort St,13006
761,Water - Whitehall Plaza,4280
762,Watts St & Greenwich St,8514
763,West Drive & Prospect Park West,5590
764,West End Ave & W 107 St,4039
765,West End Ave & W 94 St,3498
766,West St & Chambers St,17994
767,West Thames St,8268
768,William St & Pine St,5275
769,Willoughby Ave & Hall St,4158
770,Willoughby Ave & Tompkins Ave,1198
771,Willoughby Ave & Walworth St,1401
772,Willoughby St & Fleet St,6677
773,Wolcott St & Dwight St,564
774,Wyckoff St & 3 Ave,2518
775,Wyckoff St & Bond St,62
776,Wythe Ave & Metropolitan Ave,7683
777,Yankee Ferry Terminal,789
778,old - E 13 St & Avenue A,2529
